Date,USD,BTC,SP500,GOLD
2025-01-02,109.38999938964844,96886.875,5868.5498046875,2658.89990234375
2025-01-03,108.9499969482422,98107.4296875,5942.47021484375,2645.0
2025-01-06,108.26000213623048,102078.0859375,5975.3798828125,2638.39990234375
2025-01-07,108.54000091552734,96922.703125,5909.02978515625,2656.699951171875
2025-01-08,109.08999633789062,95043.5234375,5918.25,2664.5
2025-01-10,109.6500015258789,94701.453125,5827.0400390625,2708.5
2025-01-13,109.95999908447266,94516.5234375,5836.22021484375,2673.5
2025-01-14,109.2699966430664,96534.046875,5842.91015625,2677.5
2025-01-15,109.08999633789062,100504.4921875,5949.91015625,2712.5
2025-01-16,108.95999908447266,99756.90625,5937.33984375,2746.39990234375
2025-01-17,109.3499984741211,104462.0390625,5996.66015625,2744.300048828125
2025-01-21,108.05999755859376,106146.265625,6049.240234375,2755.0
2025-01-22,108.16999816894533,103653.0703125,6086.3701171875,2767.60009765625
2025-01-23,108.0500030517578,103960.171875,6118.7099609375,2763.10009765625
2025-01-24,107.44000244140624,104819.484375,6101.240234375,2777.300048828125
2025-01-27,107.33999633789062,102087.6875,6012.27978515625,2737.5
2025-01-28,107.87000274658205,101332.4765625,6067.7001953125,2766.800048828125
2025-01-29,108.0,103703.2109375,6039.31005859375,2769.10009765625
2025-01-30,107.8000030517578,104735.3046875,6071.169921875,2823.0
2025-01-31,108.37000274658205,102405.0234375,6040.52978515625,2812.5
2025-02-03,108.98999786376952,101405.421875,5994.56982421875,2833.89990234375
2025-02-04,107.95999908447266,97871.8203125,6037.8798828125,2853.300048828125
2025-02-05,107.58000183105467,96615.4453125,6061.47998046875,2871.60009765625
2025-02-06,107.69000244140624,96593.296875,6083.56982421875,2856.0
2025-02-07,108.04000091552734,96529.0859375,6025.990234375,2867.300048828125
2025-02-10,108.31999969482422,97437.5546875,6066.43994140625,2914.300048828125
2025-02-11,107.95999908447266,95747.4296875,6068.5,2912.5
2025-02-12,107.94000244140624,97885.859375,6051.97021484375,2909.0
2025-02-13,107.30999755859376,96623.8671875,6115.06982421875,2925.89990234375
2025-02-14,106.56999969482422,97508.96875,6114.6298828125,2883.60009765625
2025-02-18,107.0500030517578,95539.546875,6129.580078125,2931.60009765625
2025-02-19,107.16999816894533,96635.609375,6144.14990234375,2919.39990234375
2025-02-20,106.33999633789062,98333.9375,6117.52001953125,2940.0
2025-02-21,106.61000061035156,96125.546875,6013.1298828125,2937.60009765625
2025-02-24,106.5999984741211,91418.171875,5983.25,2947.89990234375
2025-02-25,106.30999755859376,88736.171875,5955.25,2904.5
2025-02-26,106.41999816894533,84347.0234375,5956.06005859375,2916.800048828125
2025-02-27,107.23999786376952,84704.2265625,5861.56982421875,2883.199951171875
2025-02-28,107.61000061035156,84373.0078125,5954.5,2836.800048828125
2025-03-03,106.75,86065.671875,5849.72021484375,2890.199951171875
2025-03-04,105.73999786376952,87222.1953125,5778.14990234375,2909.60009765625
2025-03-05,105.73999786376952,90623.5625,5842.6298828125,2915.300048828125
2025-03-06,104.05999755859376,89961.7265625,5738.52001953125,2916.60009765625
2025-03-07,103.83999633789062,86742.671875,5770.2001953125,2904.699951171875
2025-03-10,103.91000366210938,78532.0,5614.56005859375,2891.0
2025-03-11,103.44000244140624,82862.2109375,5572.06982421875,2912.89990234375
2025-03-12,103.61000061035156,83722.359375,5599.2998046875,2939.10009765625
2025-03-13,103.83000183105467,81066.703125,5521.52001953125,2984.300048828125
2025-03-14,103.72000122070312,83969.1015625,5638.93994140625,2994.5
2025-03-17,103.37000274658205,84075.6875,5675.1201171875,3000.0
2025-03-18,103.23999786376952,82718.5,5614.66015625,3035.10009765625
2025-03-19,103.43000030517578,86854.2265625,5675.2900390625,3035.89990234375
2025-03-20,103.8499984741211,84167.1953125,5662.89013671875,3040.0
2025-03-21,104.08999633789062,84043.2421875,5667.56005859375,3018.199951171875
2025-03-24,104.26000213623048,87498.9140625,5767.56982421875,3013.10009765625
2025-03-25,104.18000030517578,87471.703125,5776.64990234375,3023.699951171875
2025-03-26,104.5500030517578,86900.8828125,5712.2001953125,3020.89990234375
2025-03-27,104.06999969482422,87177.1015625,5693.31005859375,3060.199951171875
2025-03-28,104.04000091552734,84353.1484375,5580.93994140625,3086.5
2025-03-31,104.20999908447266,82548.9140625,5611.85009765625,3122.800048828125
2025-04-01,104.26000213623048,85169.171875,5633.06982421875,3118.89990234375
2025-04-02,103.80999755859376,82485.7109375,5670.97021484375,3139.89990234375
2025-04-03,102.06999969482422,83102.828125,5396.52001953125,3097.0
2025-04-04,103.0199966430664,83843.8046875,5074.080078125,3012.0
2025-04-07,103.26000213623048,79235.3359375,5062.25,2951.300048828125
2025-04-08,102.95999908447266,76271.953125,4982.77001953125,2968.39990234375
2025-04-09,102.9000015258789,82573.953125,5456.89990234375,3056.5
2025-04-10,100.87000274658205,79626.140625,5268.0498046875,3155.199951171875
2025-04-11,99.77999877929688,83404.8359375,5363.35986328125,3222.199951171875
2025-04-14,99.63999938964844,84542.390625,5405.97021484375,3204.800048828125
2025-04-15,100.22000122070312,83668.9921875,5396.6298828125,3218.699951171875
2025-04-16,99.37999725341795,84033.8671875,5275.7001953125,3326.60009765625
2025-04-17,99.37999725341795,84895.75,5282.7001953125,3308.699951171875
2025-04-21,98.27999877929688,87518.90625,5158.2001953125,3406.199951171875
2025-04-22,98.91999816894533,93441.890625,5287.759765625,3400.800048828125
2025-04-23,99.83999633789062,93699.109375,5375.85986328125,3276.300048828125
2025-04-24,99.29000091552734,93943.796875,5484.77001953125,3332.0
2025-04-25,99.47000122070312,94720.5,5525.2099609375,3282.39990234375
2025-04-28,99.01000213623048,94978.75,5528.75,3332.5
2025-04-29,99.23999786376952,94284.7890625,5560.830078125,3318.800048828125
2025-04-30,99.47000122070312,94207.3125,5569.06005859375,3305.0
2025-05-01,100.25,96492.3359375,5604.14013671875,3210.0
2025-05-02,100.0,96910.0703125,5686.669921875,3231.89990234375
2025-05-05,99.83000183105467,94748.0546875,5650.3798828125,3311.300048828125
2025-05-06,99.23999786376952,96802.4765625,5606.91015625,3411.39990234375
2025-05-07,99.61000061035156,97032.3203125,5631.27978515625,3381.39990234375
2025-05-08,100.63999938964844,103241.4609375,5663.93994140625,3296.60009765625
2025-05-09,100.33999633789062,102970.8515625,5659.91015625,3335.39990234375
2025-05-12,101.79000091552734,102812.953125,5844.18994140625,3220.0
2025-05-13,101.0,104169.8125,5886.5498046875,3240.300048828125
2025-05-14,101.04000091552734,103539.4140625,5892.580078125,3181.39990234375
2025-05-15,100.87999725341795,103744.640625,5916.93017578125,3220.699951171875
2025-05-16,101.08999633789062,103489.2890625,5958.3798828125,3182.0
2025-05-19,100.43000030517578,105606.1796875,5963.60009765625,3228.89990234375
2025-05-20,100.12000274658205,106791.0859375,5940.4599609375,3280.300048828125
2025-05-21,99.55999755859376,109678.078125,5844.60986328125,3309.300048828125
2025-05-22,99.95999908447266,111673.28125,5842.009765625,3292.300048828125
2025-05-23,99.11000061035156,107287.796875,5802.81982421875,3363.60009765625
2025-05-27,99.5199966430664,108994.640625,5921.5400390625,3299.10009765625
2025-05-28,99.87999725341795,107802.328125,5888.5498046875,3293.60009765625
2025-05-29,99.27999877929688,105641.7578125,5912.169921875,3317.10009765625
2025-05-30,99.33000183105467,103998.5703125,5911.68994140625,3288.89990234375
2025-06-02,98.6999969482422,105881.53125,5935.93994140625,3370.60009765625
2025-06-03,99.25,105432.46875,5970.3701171875,3350.199951171875
2025-06-04,98.79000091552734,104731.984375,5970.81005859375,3373.5
2025-06-05,98.73999786376952,101575.953125,5939.2998046875,3350.699951171875
2025-06-06,99.19000244140624,104390.34375,6000.35986328125,3322.699951171875
2025-06-09,98.94000244140624,110294.1015625,6005.8798828125,3332.10009765625
2025-06-10,99.0500030517578,110257.234375,6038.81005859375,3320.89990234375
2025-06-11,98.62999725341795,108686.625,6022.240234375,3321.300048828125
2025-06-12,97.91999816894533,105929.0546875,6045.259765625,3380.89990234375
2025-06-13,98.18000030517578,106090.96875,5976.97021484375,3431.199951171875
2025-06-16,98.0,106796.7578125,6033.10986328125,3396.39990234375
2025-06-17,98.81999969482422,104601.1171875,5982.72021484375,3386.60009765625
2025-06-18,98.91000366210938,104883.328125,5980.8701171875,3389.800048828125
2025-06-20,98.70999908447266,103309.6015625,5967.83984375,3368.10009765625
2025-06-23,98.41999816894533,105577.7734375,6025.169921875,3377.699951171875
2025-06-24,97.86000061035156,106045.6328125,6092.18017578125,3317.39990234375
2025-06-25,97.68000030517578,107361.2578125,6092.16015625,3327.10009765625
2025-06-26,97.1500015258789,106960.0,6141.02001953125,3333.5
2025-06-27,97.4000015258789,107088.4296875,6173.06982421875,3273.699951171875
2025-06-30,96.87999725341795,107135.3359375,6204.9501953125,3294.39990234375
2025-07-01,96.81999969482422,105698.28125,6198.009765625,3336.699951171875
2025-07-02,96.77999877929688,108859.3203125,6227.419921875,3348.0
2025-07-03,97.18000030517578,109647.9765625,6279.35009765625,3331.60009765625
2025-07-07,97.4800033569336,108299.8515625,6229.97998046875,3332.199951171875
2025-07-08,97.51000213623048,108950.2734375,6225.52001953125,3307.0
2025-07-09,97.47000122070312,111326.5546875,6263.259765625,3311.60009765625
2025-07-10,97.6500015258789,115987.203125,6280.4599609375,3317.39990234375
2025-07-11,97.8499984741211,117516.9921875,6259.75,3356.0
2025-07-14,98.08000183105467,119849.703125,6268.56005859375,3351.5
2025-07-15,98.62000274658205,117777.1875,6243.759765625,3329.800048828125
2025-07-16,98.38999938964844,118738.5078125,6263.7001953125,3352.5
2025-07-17,98.7300033569336,119289.84375,6297.35986328125,3340.10009765625
2025-07-18,98.4800033569336,118003.2265625,6296.7900390625,3353.0
2025-07-21,97.8499984741211,117439.5390625,6305.60009765625,3401.89990234375
2025-07-22,97.38999938964844,119995.4140625,6309.6201171875,3439.199951171875
2025-07-23,97.20999908447266,118754.9609375,6358.91015625,3394.10009765625
2025-07-24,97.37999725341795,118368.0,6363.35009765625,3371.0
2025-07-25,97.6500015258789,117635.8828125,6388.64013671875,3334.0
2025-07-28,98.66000366210938,117924.4765625,6389.77001953125,3309.10009765625
