event_id,event_date,label_start_date,label_end_date,label_horizon_trading_days,prediction_date,primary_category,q0_overall_intensity,q1_geo_macro_score,q2_disaster_disruption_score,q3_technology_adoption_score,q4_regulation_policy_score,raw_q0_overall_intensity,raw_q1_geo_macro_score,raw_q2_disaster_disruption_score,raw_q3_technology_adoption_score,raw_q4_regulation_policy_score,daily_event_count,daily_q0_sum,daily_q0_max,daily_q0_top2_gap,daily_relative_q0,event_attention_factor,pre_event_trend_magnitude,trend_dampening_factor,usd_return,gold_return,sp500_return,btc_return,usd_next_return,gold_next_return,sp500_next_return,btc_next_return,usd_excess_sp500_return,gold_excess_sp500_return,sp500_excess_sp500_return,btc_excess_sp500_return,usd_magnitude_bucket,gold_magnitude_bucket,sp500_magnitude_bucket,btc_magnitude_bucket,usd_up,gold_up,sp500_up,btc_up,target_bitstring_usd_gold_sp500_btc,split
EVT_0051,2025-05-14,2025-05-15,2025-05-21,5,2025-05-21,q2_disaster_disruption,0.39582325916300065,0.0,-0.48975038694494116,0.0,0.0,0.56575,0.0,-0.7,0.0,0.0,2,1.18125,0.6154999999999999,0.04974999999999996,0.9191714053614948,0.9636271324126727,0.048205913406995725,0.7260520032988472,-0.014647697382454528,0.04020247388269271,-0.008140782850254547,0.05928818622437304,-0.0015835675045484,0.01235306784261,0.0041323320741357,0.0019821105262978,-0.006506914532199981,0.04834325673294726,0.0,0.06742896907462759,small_down,large_up,small_down,large_up,0,1,0,1,0101,train
EVT_0101,2025-05-14,2025-05-15,2025-05-21,5,2025-05-21,q3_technology_adoption,0.4468850080304404,0.0,0.0,0.4356312019793083,0.0,0.6154999999999999,0.0,0.0,0.6,0.0,2,1.18125,0.6154999999999999,0.04974999999999996,1.0,1.0,0.048205913406995725,0.7260520032988472,-0.014647697382454528,0.04020247388269271,-0.008140782850254547,0.05928818622437304,-0.0015835675045484,0.01235306784261,0.0041323320741357,0.0019821105262978,-0.006506914532199981,0.04834325673294726,0.0,0.06742896907462759,small_down,large_up,small_down,large_up,0,1,0,1,0101,train
EVT_0151,2025-05-15,2025-05-16,2025-05-22,5,2025-05-22,q4_regulation_policy,0.4964015600360021,0.0,0.0,0.0,0.2992624325763389,0.6635,0.0,0.0,0.0,0.4,1,0.6635,0.6635,0.6635,1.0,1.0,0.046781682149257875,0.7481560814408472,-0.009119728330624244,0.022231222635377135,-0.01266204060729137,0.07642458036612476,0.0020816721866587,-0.0120160063832688,0.0070052722948985,-0.002461347024402,0.0035423122766671256,0.034893263242668504,0.0,0.08908662097341613,small_down,large_up,small_down,large_up,0,1,0,1,0101,train
EVT_0102,2025-05-19,2025-05-20,2025-05-27,5,2025-05-27,q3_technology_adoption,0.6063749999999999,0.0,0.0,0.45,0.0,0.6063749999999999,0.0,0.0,0.45,0.0,1,0.6063749999999999,0.6063749999999999,0.6063749999999999,1.0,1.0,0.027705126499133703,1.0,-0.009061073975347389,0.021741211383339953,-0.007052796616976109,0.03208582061700205,-0.0030867027546724,0.0159187797822613,-0.0038802294486252,0.0112200465304801,-0.00200827735837128,0.028794008000316063,0.0,0.03913861723397816,small_down,large_up,small_down,large_up,0,1,0,1,0101,train
EVT_0103,2025-05-20,2025-05-21,2025-05-28,5,2025-05-28,q3_technology_adoption,0.6435,0.0,0.0,0.6,0.0,0.6435,0.0,0.0,0.6,0.0,1,0.6435,0.6435,0.6435,1.0,1.0,0.01600172156716705,1.0,-0.0023971782518978912,0.0040545220346157596,-0.008738406889591488,0.009469350167408574,-0.0055933397185948,0.0088406546865613,-0.0161351306610142,0.0270340184497199,0.006341228637693597,0.012792928924207247,0.0,0.018207757057000062,small_down,small_up,small_down,small_up,0,1,0,1,0101,train
EVT_0052,2025-05-22,2025-05-23,2025-05-30,5,2025-05-30,q2_disaster_disruption,0.3636842757536676,0.0,-0.40521924875060455,0.0,0.0,0.44875,0.0,-0.5,0.0,0.0,2,1.224125,0.775375,0.32662500000000005,0.5787522166693535,0.8104384975012091,0.030194498733679104,1.0,-0.006302493589316449,-0.0010327571709582983,0.011927432266761295,-0.06872468375240837,-0.0085033861735311,0.0216566071654082,-0.0067082978253216,-0.0392706682020235,-0.018229925856077744,-0.012960189437719594,0.0,-0.08065211601916966,small_down,flat,small_up,large_down,0,0,1,0,0010,train
EVT_0152,2025-05-22,2025-05-23,2025-05-30,5,2025-05-30,q4_regulation_policy,0.775375,0.0,0.0,0.0,-0.65,0.775375,0.0,0.0,0.0,-0.65,2,1.224125,0.775375,0.32662500000000005,1.0,1.0,0.030194498733679104,1.0,-0.006302493589316449,-0.0010327571709582983,0.011927432266761295,-0.06872468375240837,-0.0085033861735311,0.0216566071654082,-0.0067082978253216,-0.0392706682020235,-0.018229925856077744,-0.012960189437719594,0.0,-0.08065211601916966,small_down,flat,small_up,large_down,0,0,1,0,0010,train
EVT_0104,2025-05-27,2025-05-28,2025-06-03,5,2025-06-03,q3_technology_adoption,0.5655,0.0,0.0,0.6,0.0,0.5655,0.0,0.0,0.6,0.0,1,0.5655,0.5655,0.5655,1.0,1.0,0.0349087726219981,1.0,-0.0027129888683049552,0.015489027917621634,0.008246178832344908,-0.03268208284897034,0.0036173695990235,-0.0016671212867737,-0.0055712254172688,-0.0109391846531444,-0.010959167700649863,0.007242849085276726,0.0,-0.04092826168131525,small_down,large_up,small_up,large_down,0,1,1,0,0110,train
EVT_0043,2025-05-29,2025-05-30,2025-06-05,5,2025-06-05,q1_geo_macro,0.6622499999999999,0.5,0.0,0.0,0.0,0.6622499999999999,0.5,0.0,0.0,0.0,1,0.6622499999999999,0.6622499999999999,0.6622499999999999,1.0,1.0,0.006541802342915575,1.0,-0.005439171254703501,0.010129285377720842,0.0045888198700310134,-0.03848671937773174,0.0005036568530683,-0.0085014604571098,-8.118516130162234e-05,-0.0155543369783418,-0.010027991124734514,0.005540465507689829,0.0,-0.04307553924776275,small_down,small_up,small_up,large_down,0,1,1,0,0110,train
EVT_0033,2025-05-30,2025-06-02,2025-06-06,5,2025-06-06,q1_geo_macro,0.5545500000000001,0.38,0.0,0.0,0.0,0.5545500000000001,0.38,0.0,0.0,0.0,1,0.5545500000000001,0.5545500000000001,0.5545500000000001,1.0,1.0,0.013361889341066299,1.0,-0.0014094370992417948,0.010277007458949328,0.014999081946762027,0.003767104070015348,-0.006342543755149,0.0248411924164302,0.0041020419271569,0.0181056425279884,-0.016408519046003822,-0.0047220744878127,0.0,-0.01123197787674668,flat,small_up,small_up,small_up,0,1,1,1,0111,train
EVT_0053,2025-06-03,2025-06-04,2025-06-10,5,2025-06-10,q2_disaster_disruption,0.51625,0.0,-0.5,0.0,0.0,0.51625,0.0,-0.5,0.0,0.0,1,0.51625,0.51625,0.51625,1.0,1.0,0.010541103644586769,1.0,-0.002015082601936169,-0.008745761224751791,0.01146326610627102,0.04576166793969727,-0.0046347514808328,0.0069548233441931,7.36874595066439e-05,-0.0066439151364365,-0.013478348708207188,-0.02020902733102281,0.0,0.03429840183342625,small_down,small_down,small_up,large_up,0,0,1,1,0011,train
EVT_0153,2025-06-04,2025-06-05,2025-06-11,5,2025-06-11,q4_regulation_policy,0.750625,0.0,0.0,0.0,0.55,0.750625,0.0,0.0,0.0,0.55,1,0.750625,0.750625,0.750625,1.0,1.0,0.014835914344072845,1.0,-0.001619634179841456,-0.01547352932321766,0.00861360104852582,0.037759626618361075,-0.0005061549883026,-0.0067585738337409,-0.0052773834030941,-0.030134359325224,-0.010233235228367277,-0.02408713037174348,0.0,0.029146025569835254,flat,large_down,small_up,large_up,0,0,1,1,0011,train
EVT_0021,2025-06-06,2025-06-09,2025-06-13,5,2025-06-13,q1_geo_macro,0.599875,0.45,0.0,0.0,0.0,0.599875,0.45,0.0,0.0,0.0,1,0.599875,0.599875,0.599875,1.0,1.0,0.014744130690523431,1.0,-0.01018249935851201,0.032654167271930046,-0.003898040945948922,0.01629101829641244,-0.0025204153024159,0.0028290687159577,0.0009199480792858,0.0565546352317667,-0.006284458412563088,0.03655220821787897,0.0,0.020189059242361362,small_down,large_up,small_down,large_up,0,1,0,1,0101,train
EVT_0105,2025-06-09,2025-06-10,2025-06-16,5,2025-06-16,q3_technology_adoption,0.711,0.0,0.0,0.6,0.0,0.711,0.0,0.0,0.6,0.0,1,0.711,0.711,0.711,1.0,1.0,0.007938717472531363,1.0,-0.009500731940681795,0.01929708076078751,0.004533886957459599,-0.03170925462426599,0.0011117910616256,-0.0033613021770798,0.0054829894076784,-0.0003342625487465,-0.014034618898141393,0.014763193803327912,0.0,-0.03624314158172559,small_down,large_up,small_up,large_down,0,1,1,0,0110,train
EVT_0009,2025-06-11,2025-06-12,2025-06-18,5,2025-06-18,q1_geo_macro,0.5706142612445589,0.3194800902788973,0.0,0.0,0.0,0.6251249999999999,0.35,0.0,0.0,0.0,4,2.427625,0.775375,0.1502500000000001,0.80622279542157,0.9128002579397065,0.017328445830434913,1.0,0.0028389578879535193,0.020624453976739954,-0.006869556108266339,-0.03499323743836913,-0.0071986120272151,0.0179447362898315,0.0038224199557175,-0.0253717539991695,0.009708513996219859,0.027494010085006293,0.0,-0.02812368133010279,small_up,large_up,small_down,large_down,1,1,0,0,1100,train
EVT_0054,2025-06-11,2025-06-12,2025-06-18,5,2025-06-18,q2_disaster_disruption,0.3636842757536676,0.0,-0.40521924875060455,0.0,0.0,0.44875,0.0,-0.5,0.0,0.0,4,2.427625,0.775375,0.1502500000000001,0.5787522166693535,0.8104384975012091,0.017328445830434913,1.0,0.0028389578879535193,0.020624453976739954,-0.006869556108266339,-0.03499323743836913,-0.0071986120272151,0.0179447362898315,0.0038224199557175,-0.0253717539991695,0.009708513996219859,0.027494010085006293,0.0,-0.02812368133010279,small_up,large_up,small_down,large_down,1,1,0,0,1100,train
EVT_0106,2025-06-11,2025-06-12,2025-06-18,5,2025-06-18,q3_technology_adoption,0.5122483596646783,0.0,0.0,0.3985507012735773,0.0,0.578375,0.0,0.0,0.45,0.0,4,2.427625,0.775375,0.1502500000000001,0.7459293890053199,0.885668225052394,0.017328445830434913,1.0,0.0028389578879535193,0.020624453976739954,-0.006869556108266339,-0.03499323743836913,-0.0071986120272151,0.0179447362898315,0.0038224199557175,-0.0253717539991695,0.009708513996219859,0.027494010085006293,0.0,-0.02812368133010279,small_up,large_up,small_down,large_down,1,1,0,0,1100,train
EVT_0154,2025-06-11,2025-06-12,2025-06-18,5,2025-06-18,q4_regulation_policy,0.775375,0.0,0.0,0.0,-0.65,0.775375,0.0,0.0,0.0,-0.65,4,2.427625,0.775375,0.1502500000000001,1.0,1.0,0.017328445830434913,1.0,0.0028389578879535193,0.020624453976739954,-0.006869556108266339,-0.03499323743836913,-0.0071986120272151,0.0179447362898315,0.0038224199557175,-0.0253717539991695,0.009708513996219859,0.027494010085006293,0.0,-0.02812368133010279,small_up,large_up,small_down,large_down,1,1,0,0,1100,train
EVT_0001,2025-06-18,2025-06-20,2025-06-26,5,2025-06-26,q1_geo_macro,0.6018888642592295,-0.6024681605674674,0.0,0.0,0.0,0.649375,-0.65,0.0,0.0,0.0,3,2.04025,0.775375,0.126,0.8374979848460422,0.9268740931807191,0.0208342568298107,1.0,-0.01779397503859037,-0.016608663643033483,0.026777023945649514,0.019799828172166745,-0.0020220864445619,-0.0064015431173815,-0.0021786584865058,-0.015004544484176,-0.044570998984239885,-0.043385687588683,0.0,-0.006977195773482769,large_down,large_down,large_up,large_up,0,0,1,1,0011,train
EVT_0107,2025-06-18,2025-06-20,2025-06-26,5,2025-06-26,q3_technology_adoption,0.5583903715943898,0.0,0.0,0.5443285507012735,0.0,0.6154999999999999,0.0,0.0,0.6,0.0,3,2.04025,0.775375,0.126,0.7938094470417538,0.9072142511687893,0.0208342568298107,1.0,-0.01779397503859037,-0.016608663643033483,0.026777023945649514,0.019799828172166745,-0.0020220864445619,-0.0064015431173815,-0.0021786584865058,-0.015004544484176,-0.044570998984239885,-0.043385687588683,0.0,-0.006977195773482769,large_down,large_down,large_up,large_up,0,0,1,1,0011,train
EVT_0155,2025-06-18,2025-06-20,2025-06-26,5,2025-06-26,q4_regulation_policy,0.775375,0.0,0.0,0.0,-0.65,0.775375,0.0,0.0,0.0,-0.65,3,2.04025,0.775375,0.126,1.0,1.0,0.0208342568298107,1.0,-0.01779397503859037,-0.016608663643033483,0.026777023945649514,0.019799828172166745,-0.0020220864445619,-0.0064015431173815,-0.0021786584865058,-0.015004544484176,-0.044570998984239885,-0.043385687588683,0.0,-0.006977195773482769,large_down,large_down,large_up,large_up,0,0,1,1,0011,train
EVT_0055,2025-06-20,2025-06-23,2025-06-27,5,2025-06-27,q2_disaster_disruption,0.44875,0.0,-0.5,0.0,0.0,0.44875,0.0,-0.5,0.0,0.0,1,0.44875,0.44875,0.44875,1.0,1.0,0.016358878342294825,1.0,-0.01327117385010479,-0.02802771406647475,0.034389324419234146,0.03657770495527357,-0.002937908197924,0.0028502280921831,0.0096065041331563,0.0219550926602674,-0.047660498269338936,-0.0624170384857089,0.0,0.002188380536039425,small_down,large_down,large_up,large_up,0,0,1,1,0011,train
EVT_0108,2025-06-25,2025-06-26,2025-07-02,5,2025-07-02,q3_technology_adoption,0.5583903715943898,0.0,0.0,0.5443285507012735,0.0,0.6154999999999999,0.0,0.0,0.6,0.0,2,1.3908749999999999,0.775375,0.1598750000000001,0.7938094470417538,0.9072142511687893,0.010270794139797451,1.0,-0.00921377480617358,0.006281717330498315,0.02220226687347293,0.013953473818425932,-0.0054258679119679,0.0019235677184039,0.0080201212752302,-0.0037374544661238,-0.03141604167964651,-0.015920549542974616,0.0,-0.008248793055046999,small_down,small_up,large_up,small_up,0,1,1,1,0111,train
EVT_0156,2025-06-25,2025-06-26,2025-07-02,5,2025-07-02,q4_regulation_policy,0.775375,0.0,0.0,0.0,-0.65,0.775375,0.0,0.0,0.0,-0.65,2,1.3908749999999999,0.775375,0.1598750000000001,1.0,1.0,0.010270794139797451,1.0,-0.00921377480617358,0.006281717330498315,0.02220226687347293,0.013953473818425932,-0.0054258679119679,0.0019235677184039,0.0080201212752302,-0.0037374544661238,-0.03141604167964651,-0.015920549542974616,0.0,-0.008248793055046999,small_down,small_up,large_up,small_up,0,1,1,1,0111,train
EVT_0044,2025-06-26,2025-06-27,2025-07-03,5,2025-07-03,q1_geo_macro,0.597125,-0.35,0.0,0.0,0.0,0.597125,-0.35,0.0,0.0,0.0,1,0.597125,0.597125,0.597125,1.0,1.0,0.018459109228990696,1.0,0.00030878825348157335,-0.0005699422060146953,0.022525586577644363,0.025130670928384502,0.0025733401551559,-0.0179391176925528,0.0052189708852221,0.0012007263229245,-0.02221679832416279,-0.02309552878365906,0.0,0.002605084350740139,flat,flat,large_up,large_up,1,0,1,1,1011,train
